Molecule,Structure,smiles string,DipoleMoment
"2,4-Hexadiyne",C6H6,CC#CC#CC,0
2-Butyne,CH3CCCH3,CC#CC,0
Carbon suboxide,C3O2,O=C=C=C=O,0
"2-Butene, (E)-",CH3CHCHCH3,C/C=C/C,0
"1,2-difluoroethane",C2H4F2,C(CF)F,0
Bicyclo[2.2.0]hex-1(4)-ene,C6H8,C1CC2=C1CC2,0
Tetrachloroethylene,C2Cl4,C(=C(Cl)Cl)(Cl)Cl,0
Tetrafluoroethylene,C2F4,C(=C(F)F)(F)F,0
cubane,C8H8,C12C3C4C1C5C2C3C45,0
Pyrazine,C4H4N2,C1=CN=CC=N1,0
Diacetylene,C4H2,C#CC#C,0
Cyanogen,C2N2,C(#N)C#N,0
allene,CH2CCH2,C=C=C,0
"Propane, 2,2-dimethyl-",C5H12,CC(C)(C)C,0
Benzene,C6H6,C1=CC=CC=C1,0
Ethane,C2H6,CC,0
Ethylene,C2H4,C=C,0
Acetylene,C2H2,C#C,0
Cyclopropane,C3H6,C1CC1,0
hexafluoroethane,C2F6,C(C(F)(F)F)(F)(F)F,0
Butane,CH3CH2CH2CH3,CCCC,0
Hydrogen diatomic,H2,[HH],0
Deuterium diatomic,D2,[2H][2H],0
Lithium diatomic,Li2,[Li][Li],0
Beryllium diatomic,Be2,[Be][Be],0
Carbon diatomic,C2,[C-]#[C+],0
Nitrogen diatomic,N2,N#N,0
Oxygen diatomic,O2,O=O,0
Fluorine diatomic,F2,FF,0
Sodium diatomic,Na2,[Na][Na],0
Magnesium diatomic,Mg2,[Mg]=[Mg],0
Aluminum diatomic,Al2,[Al]#[Al],0
Silicon diatomic,Si2,[Si]=[Si],0
Phosphorus diatomic,P2,P#P,0
Sulfur diatomic,S2,S=S,0
Chlorine diatomic,Cl2,ClCl,0
Bromine diatomic,Br2,BrBr,0
Iodine diatomic,I2,II,0
beryllium dihydride,BeH2,[H-].[H-].[Be+2],0
carbon trimer,C3,[C]=C=[C],0
Boron dioxide,BO2,[B]([OH2+])[O-],0
Carbon dioxide,CO2,C(=O)=O,0
magnesium dihydride,MgH2,[H-].[H-].[Mg+2],0
silicon dioxide,SiO2,O=[Si]=O,0
Carbon disulfide,CS2,C(=S)=S,0
boron trihydride,BH3,B,0
Methyl radical,CH3,[CH3],0
(E)-diazine,N2H2,N=N,0
Diboron dioxide,B2O2,B(=O)B=O,0
"Borane, trifluoro-",BF3,FB(F)F,0
aluminum trihydride,AlH3,[AlH3],0
Aluminum trifluoride,AlF3,F[Al](F)F,0
Phosphorus tetramer,P4,P12P3P1P23,0
Sulfur trioxide,SO3,O=S(=O)=O,0
"Borane, trichloro-",BCl3,ClB(Cl)Cl,0
Aluminum trichloride,AlCl3,Cl[Al](Cl)Cl,0
Methane,CH4,C,0
Carbon tetrafluoride,CF4,C(F)(F)(F)F,0
Silane,SiH4,[SiH4],0
Silicon tetrafluoride,SiF4,F[Si](F)(F)F,0
"Silane, tetrachloro-",SiCl4,[Si](Cl)(Cl)(Cl)Cl,0
Carbon tetrachloride,CCl4,C(Cl)(Cl)(Cl)Cl,0
Germane,GeH4,[GeH4],0
Carbon tetrabromide,CBr4,C(Br)(Br)(Br)Br,0
Dinitrogen tetroxide,N2O4,[N+](=O)([N+](=O)[O-])[O-],0
Diboron tetrafluoride,B2F4,B(B(F)F)(F)F,0
Phosphorus pentafluoride,PF5,FP(F)(F)(F)F,0
Diboron tetrachloride,B2Cl4,B(B(Cl)Cl)(Cl)Cl,0
Phosphorus pentachloride,PCl5,P(Cl)(Cl)(Cl)(Cl)Cl,0
Sulfur Hexafluoride,SF6,FS(F)(F)(F)(F)F,0
"1,3,5-Triazine",C3H3N3,C1=NC=NC=N1,0
tetramethylsilane,Si(CH3)4,C[Si](C)(C)C,0
oxygen diatomic anion,O2-,[O-][O],0
Oxygen monofluoride,FO,[O]F,0.004
Quadricyclane,C7H8,C1C2C3C2C4C1C34,0.02
Carbon sulfide selenide,SCSe,C(=S)=[Se],0.031
Propane,C3H8,CCC,0.08
Norbornane,C7H12,C1CC2CCC1C2,0.09
Carbon monoxide,CO,[C-]#[O+],0.112
"Butane, 2-methyl-",C5H12,CCC(C)C,0.13
Isobutane,CH3CH(CH3)CH3,CC(C)C,0.13
Cyclobutene,C4H6,C1CC=C1,0.13
methylcyclopropane,C4H8,CC1CC1,0.14
"Cyclopropane, 1,1-dimethyl-",C5H10,CC1(CC1)C,0.14
Nitric oxide,NO,[N]=O,0.159
(Z)-Difluorodiazene,N2F2,N(=N\F)\F,0.16
Nitrous oxide,N2O,[N-]=[N+]=O,0.167
Cyclopentene,C5H8,C1CC=CC1,0.19
Bicyclo[3.1.0]hexane,C6H10,C1CC2CC2C1,0.19
Arsine,AsH3,[AsH3],0.2
1-Buten-3-yne,C2H3CCH,C=CC#C,0.22
bromoacetylene,HCCBr,C#CBr,0.23
Nitrogen trifluoride,NF3,N(F)(F)F,0.235
"1,3-Butadiene, 2-methyl-",C5H8,CC(=C)[13CH]=C,0.25
"2-Butene, (Z)-",CH3CHCHCH3,C/C=C\C,0.26
Bicyclo[2.1.0]pentane,C5H8,C1CC2C1C2,0.26
"2-Pentene, (Z)-",C5H10,CC/C=C\C,0.28
Bicyclo[3.1.0]hex-2-ene,C6H8,C1C=CC2C1C2,0.29
Difluorine monoxide,F2O,O(F)F,0.297
Nitrogen dioxide,NO2,N(=O)[O],0.316
cyclohexene,C6H10,C1CCC=CC1,0.33
toluene,C6H5CH3,C1CCC=CC1,0.33
1-Butene,CH2CHCH2CH3,CCC=C,0.36
Propene,CH2CHCH3,CC=C,0.36
Sulfur dichloride,SCl2,S(Cl)Cl,0.36
1-pentene,CH2CHCH2CH2CH3,CCCC=C,0.39
HCP,HCP,C#P,0.39
selenophene,C4H4Se,C1=C[Se]C=C1,0.4
"1,2-Butadiene",CH2CCHCH3,CC=C=C,0.4
Bicyclo[2.1.0]pent-2-ene,C5H6,C1C2C1C=C2,0.4
Methylenecyclopropane,C4H6,C=C1CC1,0.4
"1,3-Cyclopentadiene",C5H6,C1C=CC=C1,0.42
Fulvene,C6H6,C=C1C=CC=C1,0.42
"1,3-Cyclohexadiene",C6H8,C1CC=CC=C1,0.44
Chloroacetylene,HCCCl,C#CCl,0.44
formaldoxime,CH2NOH,C=NO,0.44
Hydrogen iodide,HI,I,0.448
cyclopropene,C3H4,C1C=C1,0.45
Trichloromonofluoromethane,CFCl3,C(F)(Cl)(Cl)Cl,0.45
lithium sodium,NaLi,[Li][Na],0.46
Difluoromethylene,CF2,[C](F)F,0.46
Nitryl fluoride,FNO2,[N+](=O)([O-])F,0.466
Tetraborane(10),B4H10,[B]1B2B1[B]2,0.486
Selenium monohydride,HSe,[SeH],0.49
"1,3-Pentadiene, (Z)-",C5H8,C/C=C\C=C,0.5
Ethenylcyclopropane,C5H8,C=CC1CC1,0.5
"1-Propene, 2-methyl-",CH2C(CH3)CH3,CC(=C)C,0.5
Boron monofluoride,BF,[B]F,0.5
"Methane, chlorotrifluoro-",CF3Cl,C(F)(F)(F)Cl,0.5
Chloromethylene,HCCl,[CH]Cl,0.501
"1-Buten-3-yne, 2-methyl-",C5H6,CC(=C)C#C,0.51
"Cyclobutane, methylene-",C5H8,C=C1CCC1,0.51
difluorodichloromethane,CF2Cl2,C(F)(F)(Cl)Cl,0.51
Bromine monochloride,BrCl,ClBr,0.519
pentafluorochloroethane,CF3CF2Cl,C(C(F)(F)Cl)(F)(F)F,0.52
Ozone,O3,[O-][O+]=O,0.53
Nitryl chloride,ClNO2,C(=NI=O)=O,0.53
"1,2-Butadiene, 3-methyl-",C5H8,CC(=C=C)C,0.55
Thiophene,C4H4S,C1=CSC=C1,0.55
"1,3-Pentadiene, (E)-",C5H8,C/C=C/C=C,0.58
Phosphine,PH3,P,0.58
Ethylbenzene,C6H5CH2CH3,CCC1=CC=CC=C1,0.59
hydroxylamine,NH2OH,NO,0.59
Chlorine trifluoride,ClF3,C(F)(F)(F)I,0.6
Phosphorus tribromide,PBr3,P(Br)(Br)Br,0.61
Trimethylamine,N(CH3)3,CN(C)C,0.612
Hydrogen selenide,H2Se,[SeH2],0.627
Sulfur tetrafluoride,SF4,FS(F)(F)F,0.632
Bromotrifluoromethane,CF3Br,C(F)(F)(F)Br,0.639
isocyanato radical,NCO,C(#N)[O],0.64
methyl germane,GeH3CH3,C[GeH3],0.643
Fluoromethylidyne,CF,[C]F,0.645
phenylacetylene,C6H5CCH,C#CC1=CC=CC=C1,0.66
Furan,C4H4O,C1=COC=C1,0.66
"3-Penten-1-yne, (E)-",C5H6,C/C=C/C#C,0.66
"Methane, dibromodifluoro-",CBr2F2,C(F)(F)(Br)Br,0.66
Bicyclo[1.1.0]butane,C4H6,C1C2C1C2,0.68
Carbonyl sulfide,OCS,C(=O)=S,0.712
Fluoroacetylene,HCCF,C#CF,0.73
methyl silane,CH3SiH3,C[SiH3],0.735
Iodine monobromide,IBr,BrI,0.737
dimethylsilane,SiH2(CH3)2,C[SiH2]C,0.75
Carbonyl selenide,OCSe,C(=O)=[Se],0.754
Mercapto-d,DS,[1H][S],0.757
Mercapto radical,HS,[SH],0.758
Chlorine nitrate,ClONO2,[N+](=O)([O-])OCl,0.772
propyne,CH3CCH,CC#C,0.78
1-Butyne,CHCCH2CH3,CCC#C,0.78
Vinyl ether,CH2CHOCHCH2,C=COC=C,0.78
Phosphorus trichloride,PCl3,P(Cl)(Cl)Cl,0.78
Monosulfur monofluoride,SF,F[S],0.794
Azulene,C10H8,C1=CC=C2C=CC=C2C=C1,0.8
Piperidine,C5H11N,C1CCNCC1,0.82
hydrogen bromide,HBr,Br,0.827
1-Hexyne,C6H10,CCCCC#C,0.83
1-Methylcyclopropene,C4H6,CC1=CC1,0.84
Acetaldoxime,CH3CHNOH,C/C=N\O,0.85
1-pentyne,C5H8,CCCC#C,0.85
Trichlorosilane,SiHCl3,[SiH](Cl)(Cl)Cl,0.86
trimethyl arsine,As(CH3)3,C[As](=[Se])(C)C,0.86
H2CPH,CH2PH,[CH2]=[PH],0.869
Benzvalene,C6H6,C1=CC2C3C1C23,0.88
Chlorine monofluoride,ClF,FCl,0.88
Cyclopropylacetylene,C5H6,C#CC1CC1,0.89
Ethenethiol,CH2CHSH,C=CS,0.91
Carbonic difluoride,CF2O,C(=O)(F)F,0.95
Thiohydroxylamine,NH2SH,NS,0.961
Hydrogen sulfide,H2S,S,0.97
"1,1,2,2-tetrafluoroethane",CHF2CHF2,C(C(F)F)(F)F,0.99
bromoform,CHBr3,C(Br)(Br)Br,0.99
Chloroform,CHCl3,C(Cl)(Cl)Cl,1.01
