Molecule,Structure,smiles string,DipoleMoment
Hydrogen diatomic,H2,[HH],0
Deuterium diatomic,D2,[2H][2H],0
Lithium diatomic,Li2,[Li][Li],0
Beryllium diatomic,Be2,[Be][Be],0
Carbon diatomic,C2,[C-]#[C+],0
Nitrogen diatomic,N2,N#N,0
Oxygen diatomic,O2,O=O,0
Fluorine diatomic,F2,FF,0
Sodium diatomic,Na2,[Na][Na],0
Magnesium diatomic,Mg2,[Mg]=[Mg],0
Aluminum diatomic,Al2,[Al]#[Al],0
Silicon diatomic,Si2,[Si]=[Si],0
Phosphorus diatomic,P2,P#P,0
Sulfur diatomic,S2,S=S,0
Chlorine diatomic,Cl2,ClCl,0
Bromine diatomic,Br2,BrBr,0
Iodine diatomic,I2,II,0
beryllium dihydride,BeH2,[H-].[H-].[Be+2],0
carbon trimer,C3,[C]=C=[C],0
Boron dioxide,BO2,[B]([OH2+])[O-],0
Carbon dioxide,CO2,C(=O)=O,0
magnesium dihydride,MgH2,[H-].[H-].[Mg+2],0
silicon dioxide,SiO2,O=[Si]=O,0
Carbon disulfide,CS2,C(=S)=S,0
boron trihydride,BH3,B,0
Methyl radical,CH3,[CH3],0
(E)-diazine,N2H2,N=N,0
Diboron dioxide,B2O2,B(=O)B=O,0
"Borane, trifluoro-",BF3,FB(F)F,0
aluminum trihydride,AlH3,[AlH3],0
Aluminum trifluoride,AlF3,F[Al](F)F,0
Phosphorus tetramer,P4,P12P3P1P23,0
Sulfur trioxide,SO3,O=S(=O)=O,0
"Borane, trichloro-",BCl3,ClB(Cl)Cl,0
Aluminum trichloride,AlCl3,Cl[Al](Cl)Cl,0
Methane,CH4,C,0
Carbon tetrafluoride,CF4,C(F)(F)(F)F,0
Silane,SiH4,[SiH4],0
Silicon tetrafluoride,SiF4,F[Si](F)(F)F,0
"Silane, tetrachloro-",SiCl4,[Si](Cl)(Cl)(Cl)Cl,0
Carbon tetrachloride,CCl4,C(Cl)(Cl)(Cl)Cl,0
Germane,GeH4,[GeH4],0
Carbon tetrabromide,CBr4,C(Br)(Br)(Br)Br,0
Dinitrogen tetroxide,N2O4,[N+](=O)([N+](=O)[O-])[O-],0
Diboron tetrafluoride,B2F4,B(B(F)F)(F)F,0
Phosphorus pentafluoride,PF5,FP(F)(F)(F)F,0
Diboron tetrachloride,B2Cl4,B(B(Cl)Cl)(Cl)Cl,0
Phosphorus pentachloride,PCl5,P(Cl)(Cl)(Cl)(Cl)Cl,0
Sulfur Hexafluoride,SF6,FS(F)(F)(F)(F)F,0
"1,3,5-Triazine",C3H3N3,C1=NC=NC=N1,0
tetramethylsilane,Si(CH3)4,C[Si](C)(C)C,0
oxygen diatomic anion,O2-,[O-][O],0
Oxygen monofluoride,FO,[O]F,0.004
Carbon sulfide selenide,SCSe,C(=S)=[Se],0.031
Carbon monoxide,CO,[C-]#[O+],0.112
Nitric oxide,NO,[N]=O,0.159
(Z)-Difluorodiazene,N2F2,N(=N\F)\F,0.16
Nitrous oxide,N2O,[N-]=[N+]=O,0.167
Arsine,AsH3,[AsH3],0.2
Nitrogen trifluoride,NF3,N(F)(F)F,0.235
Difluorine monoxide,F2O,O(F)F,0.297
Nitrogen dioxide,NO2,N(=O)[O],0.316
Sulfur dichloride,SCl2,S(Cl)Cl,0.36
HCP,HCP,C#P,0.39
formaldoxime,CH2NOH,C=NO,0.44
Hydrogen iodide,HI,I,0.448
Trichloromonofluoromethane,CFCl3,C(F)(Cl)(Cl)Cl,0.45
lithium sodium,NaLi,[Li][Na],0.46
Difluoromethylene,CF2,[C](F)F,0.46
Nitryl fluoride,FNO2,[N+](=O)([O-])F,0.466
Tetraborane(10),B4H10,[B]1B2B1[B]2,0.486
Selenium monohydride,HSe,[SeH],0.49
Boron monofluoride,BF,[B]F,0.5
"Methane, chlorotrifluoro-",CF3Cl,C(F)(F)(F)Cl,0.5
Chloromethylene,HCCl,[CH]Cl,0.501
difluorodichloromethane,CF2Cl2,C(F)(F)(Cl)Cl,0.51
Bromine monochloride,BrCl,ClBr,0.519
Ozone,O3,[O-][O+]=O,0.53
Nitryl chloride,ClNO2,C(=NI=O)=O,0.53
Phosphine,PH3,P,0.58
hydroxylamine,NH2OH,NO,0.59
Chlorine trifluoride,ClF3,C(F)(F)(F)I,0.6
Phosphorus tribromide,PBr3,P(Br)(Br)Br,0.61
Trimethylamine,N(CH3)3,CN(C)C,0.612
Hydrogen selenide,H2Se,[SeH2],0.627
Sulfur tetrafluoride,SF4,FS(F)(F)F,0.632
Bromotrifluoromethane,CF3Br,C(F)(F)(F)Br,0.639
isocyanato radical,NCO,C(#N)[O],0.64
methyl germane,GeH3CH3,C[GeH3],0.643
Fluoromethylidyne,CF,[C]F,0.645
"Methane, dibromodifluoro-",CBr2F2,C(F)(F)(Br)Br,0.66
Carbonyl sulfide,OCS,C(=O)=S,0.712
methyl silane,CH3SiH3,C[SiH3],0.735
